CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12347,2,7,163.16,3,Regular Shoppers
12348,75,4,331.36,3,Regular Shoppers
12349,18,1,15.0,1,Occasional Shoppers
12350,310,1,25.200000000000003,0,Frequent Shoppers
12352,36,8,536.3,4,High-Value Loyal Shoppers
12353,204,1,19.9,0,Frequent Shoppers
12354,232,1,20.8,0,Frequent Shoppers
12355,214,1,30.0,0,Frequent Shoppers
12356,22,3,153.9,3,Regular Shoppers
12357,33,1,19.799999999999997,1,Occasional Shoppers
12358,1,2,157.8,3,Regular Shoppers
12359,57,4,80.7,1,Occasional Shoppers
12360,52,3,46.3,1,Occasional Shoppers
12361,287,1,23.4,0,Frequent Shoppers
12362,3,10,215.13,4,High-Value Loyal Shoppers
12363,109,2,85.26,1,Occasional Shoppers
12364,7,4,80.7,3,Regular Shoppers
12365,291,2,335.69,0,Frequent Shoppers
12367,4,1,10.2,1,Occasional Shoppers
12370,51,4,321.38,3,Regular Shoppers
12371,44,2,365.04,3,Regular Shoppers
12372,71,3,90.11999999999999,1,Occasional Shoppers
12373,311,1,19.5,0,Frequent Shoppers
12374,25,1,13.049999999999999,1,Occasional Shoppers
12375,10,2,74.80000000000001,1,Occasional Shoppers
12377,315,2,57.0,0,Frequent Shoppers
12378,129,1,12.600000000000001,1,Occasional Shoppers
12379,81,2,92.69999999999999,1,Occasional Shoppers
12380,21,4,220.72000000000003,3,Regular Shoppers
12381,4,5,75.1,3,Regular Shoppers
12383,184,5,102.4,0,Frequent Shoppers
12384,28,2,40.0,1,Occasional Shoppers
12386,337,2,98.0,0,Frequent Shoppers
12388,15,6,140.52,3,Regular Shoppers
12390,79,1,19.8,1,Occasional Shoppers
12391,21,1,2.95,1,Occasional Shoppers
12393,72,4,67.2,1,Occasional Shoppers
12394,63,2,156.20000000000002,1,Occasional Shoppers
12395,19,12,215.43,4,High-Value Loyal Shoppers
12397,35,2,31.85,1,Occasional Shoppers
12398,45,1,15.0,1,Occasional Shoppers
12399,119,4,136.2,1,Occasional Shoppers
12401,303,1,17.85,0,Frequent Shoppers
12402,323,1,19.5,0,Frequent Shoppers
12403,49,1,166.0,1,Occasional Shoppers
12405,148,1,12.48,1,Occasional Shoppers
12406,22,2,124.50000000000001,1,Occasional Shoppers
12407,49,5,248.24,3,Regular Shoppers
12408,32,5,91.9,3,Regular Shoppers
12409,78,3,146.55,1,Occasional Shoppers
12410,308,2,34.0,0,Frequent Shoppers
12412,74,3,44.76,1,Occasional Shoppers
12413,66,3,44.1,1,Occasional Shoppers
12414,217,3,126.36000000000001,0,Frequent Shoppers
12417,3,9,141.4,3,Regular Shoppers
12418,112,1,10.08,1,Occasional Shoppers
12420,63,1,18.72,1,Occasional Shoppers
12421,15,4,72.9,3,Regular Shoppers
12422,95,3,50.7,1,Occasional Shoppers
12423,0,8,80.73,3,Regular Shoppers
12424,162,2,229.14000000000001,0,Frequent Shoppers
12425,78,1,8.5,1,Occasional Shoppers
12426,194,1,17.700000000000003,0,Frequent Shoppers
