CustomerID,Cluster,StockCode0,StockCode1,StockCode2
12347,3,17096,84879,17003
12348,3,17096,84879,17003
12349,1,84826,16045,22578
12350,0,84077,84568,75049L
12352,4,18007,15036,17003
12353,0,84077,84568,75049L
12354,0,84077,84568,75049L
12355,0,84077,84568,75049L
12356,3,17096,84879,17003
12357,1,84826,16045,22578
12358,3,17096,84879,17003
12359,1,84826,16045,22578
12360,1,84826,16045,22578
12361,0,84077,84568,75049L
12362,4,18007,15036,17003
12363,1,84826,16045,22578
12364,3,17096,84879,17003
12365,0,84077,84568,75049L
12367,1,84826,16045,22578
12370,3,17096,84879,17003
12371,3,17096,84879,17003
12372,1,84826,16045,22578
12373,0,84077,84568,75049L
12374,1,84826,16045,22578
12375,1,84826,16045,22578
12377,0,84077,84568,75049L
12378,1,84826,16045,22578
12379,1,84826,16045,22578
12380,3,17096,84879,17003
12381,3,17096,84879,17003
12383,0,84077,84568,75049L
12384,1,84826,16045,22578
12386,0,84077,84568,75049L
12388,3,17096,84879,17003
12390,1,84826,16045,22578
12391,1,84826,16045,22578
12393,1,84826,16045,22578
12394,1,84826,16045,22578
12395,4,18007,15036,17003
12397,1,84826,16045,22578
12398,1,84826,16045,22578
12399,1,84826,16045,22578
12401,0,84077,84568,75049L
12402,0,84077,84568,75049L
12403,1,84826,16045,22578
12405,1,84826,16045,22578
12406,1,84826,16045,22578
12407,3,17096,84879,17003
12408,3,17096,84879,17003
12409,1,84826,16045,22578
12410,0,84077,84568,75049L
12412,1,84826,16045,22578
12413,1,84826,16045,22578
12414,0,84077,84568,75049L
12417,3,17096,84879,17003
12418,1,84826,16045,22578
12420,1,84826,16045,22578
12421,3,17096,84879,17003
12422,1,84826,16045,22578
12423,3,17096,84879,17003
12424,0,84077,84568,75049L
12425,1,84826,16045,22578
12426,0,84077,84568,75049L
12427,1,84826,16045,22578
12428,4,18007,15036,17003
12429,3,17096,84879,17003
12430,1,84826,16045,22578
12431,2,16014,22151,22086
12432,4,18007,15036,17003
12433,3,17096,84879,17003
12434,1,84826,16045,22578
12435,3,17096,84879,17003
12436,1,84826,16045,22578
12437,2,16014,23084,22151
12438,1,84826,16045,22578
12441,0,84077,84568,75049L
12442,1,84826,16045,22578
12444,3,17096,84879,17003
12445,1,84826,16045,22578
12446,1,84826,16045,22578
12447,0,84077,84568,75049L
12448,1,84826,16045,22578
12449,3,17096,84879,17003
12450,0,84077,84568,75049L
12451,3,17096,84879,17003
12452,1,84826,16045,22578
12453,1,84826,16045,22578
12454,1,84826,16045,22578
12455,3,17096,84879,17003
12456,1,84826,16045,22578
12457,4,18007,15036,17003
12458,1,84826,16045,22578
12461,3,17096,17003,23084
12462,1,84826,16045,22578
12463,3,17096,84879,17003
12464,4,18007,15036,17003
12465,1,84826,16045,22578
12468,0,84077,84568,75049L
12472,3,17096,84879,17003
12473,3,17096,84879,17003
12474,4,18007,15036,17003
12475,1,84826,16045,22578
12476,4,18007,15036,17003
12477,3,17096,84879,17003
12478,1,84826,16045,22578
12479,1,84826,16045,22578
12480,1,84826,16045,22578
12481,4,18007,15036,17003
12483,4,18007,15036,17003
12484,4,18007,15036,17003
12488,1,84826,16045,22578
12489,0,84077,84568,75049L
12490,4,18007,15036,17003
12491,1,84826,16045,22578
12492,1,84826,16045,22578
12493,0,84077,84568,75049L
12494,3,17096,84879,17003
12497,1,84826,16045,22578
12498,1,84826,16045,22578
12500,2,16014,23084,22151
12501,0,84077,84568,75049L
12502,3,17096,84879,17003
12504,1,84826,16045,22578
12506,0,84077,84568,75049L
12507,1,84826,16045,22578
12508,1,84826,16045,22578
12509,0,84077,84568,75049L
12510,1,84826,16045,22578
12512,1,84826,16045,22578
12513,1,84826,16045,22578
12514,0,84077,84568,75049L
12515,0,84077,84568,75049L
12516,1,84826,16045,22578
12517,3,17096,84879,17003
12518,3,17096,84879,17003
12519,1,84826,16045,22578
12520,1,84826,16045,22578
12521,1,84826,16045,22578
12522,1,84826,16045,22578
12523,4,18007,15036,17003
12524,4,18007,15036,17003
12526,1,84826,16045,22578
12527,1,84826,16045,22578
12528,3,17096,84879,17003
12530,3,17096,84879,17003
12531,1,84826,16045,22578
12532,1,84826,16045,22578
12534,1,84826,16045,22578
12535,1,84826,16045,22578
12538,1,84826,16045,22578
12539,1,84826,16045,22578
12540,2,16014,23084,22151
12541,1,84826,16045,22578
12544,1,84826,16045,22578
12545,1,84826,16045,22578
12546,1,84826,16045,22578
12547,0,84077,84568,75049L
12548,0,84077,84568,75049L
12550,1,84826,16045,22578
12551,0,84077,84568,75049L
12552,1,84826,16045,22578
12553,4,18007,15036,17003
12556,1,84826,16045,22578
12557,2,16014,23084,22151
12558,1,84826,16045,22578
12559,0,84077,84568,75049L
12560,3,17096,84879,17003
12561,0,84077,84568,75049L
12562,3,17096,84879,17003
12564,0,84077,84568,75049L
12565,0,84077,84568,75049L
12566,1,84826,16045,22578
12567,4,18007,15036,17003
12571,1,84826,16045,22578
12572,1,84826,16045,22578
12573,0,84077,84568,75049L
12574,0,84077,84568,75049L
12576,3,17096,84879,17003
12577,1,84826,16045,22578
12578,1,84826,16045,22578
12579,1,84826,16045,22578
12580,0,84077,84568,75049L
12581,1,84826,16045,22578
12582,0,84077,84568,75049L
12583,2,16014,23084,22151
12584,3,17096,84879,17003
12585,0,84077,84568,75049L
12586,1,84826,16045,22578
12587,1,84826,16045,22578
12588,1,84826,16045,22578
12589,1,84826,16045,22578
12590,4,18007,15036,17003
12591,0,84077,84568,75049L
12592,1,84826,16045,22578
12593,1,84826,16045,22578
12594,4,18007,15036,17003
12596,1,84826,16045,22578
12597,3,17096,84879,17003
12598,3,17096,84879,17003
12599,3,17096,84879,17003
12600,4,18007,15036,17003
12601,0,84077,84568,75049L
12602,1,84826,16045,22578
12603,4,18007,15036,17003
12604,1,84826,16045,22578
12607,1,84826,16045,22578
12609,1,84826,16045,22578
12610,3,17096,84879,17003
12611,1,84826,16045,22578
12612,1,84826,16045,22578
12613,3,17096,84879,17003
12614,0,84077,84568,75049L
12615,3,17096,84879,17003
12616,1,84826,16045,22578
12617,1,84826,16045,22578
12618,1,84826,16045,22578
12619,2,16014,23084,22151
12620,1,84826,16045,22578
12621,2,16014,23084,22151
12623,0,84077,84568,75049L
12624,1,84826,16045,22578
12625,0,84077,84568,75049L
12626,3,17096,84879,17003
12627,3,17096,84879,17003
12628,1,84826,16045,22578
12630,1,84826,16045,22578
12631,1,84826,16045,22578
12633,3,17096,84879,17003
12635,1,84826,16045,22578
12637,3,17096,84879,17003
12638,1,84826,16045,22578
12639,0,84077,84568,75049L
12640,1,84826,16045,22578
12641,1,84826,16045,22578
12642,3,17096,84879,17003
12643,3,17096,84879,17003
12644,1,84826,16045,22578
12645,3,17096,84879,17003
12646,1,84826,16045,22578
12647,4,18007,15036,17003
12648,0,84077,84568,75049L
12649,1,84826,16045,22578
12650,1,84826,16045,22578
12651,0,84077,84568,75049L
12652,0,84077,84568,75049L
12653,1,84826,16045,22578
12654,3,17096,84879,17003
12656,3,17096,84879,17003
12657,3,17096,84879,17003
12658,1,84826,16045,22578
12659,1,84826,16045,22578
12660,1,84826,16045,22578
12662,4,18007,15036,17003
12665,0,84077,84568,75049L
12667,1,84826,16045,22578
12668,3,17096,84879,17003
12669,2,16014,23084,22151
12670,3,17096,84879,17003
